序号	语料
1534		 ꀉꁁ/r ꀉꁁ/d ꀱ/p ꀉꁁ/r ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ꁰꍋꂷ/n (ꅇ)ꉉ/v ：/w "/w  [ꅽ] /r ꀀ/v {ꄷ}ꈨ/q ꀉꄉꀑꑊ/n ꇢ/v {ꃢꈜ}ꈚ/u ꀉꑌ/n ...ꅀ...ꂯ/u ！/w "/w 
1535		  [ꅽ] /r ꃅꄡꂿꃅ /n ꀉꑳ/k /a ，/w ꀀ/vꀑꑊ/n ꀣ/v {ꃢꈜ}ꈚ/u 。/w 
1536		 {ꈎꄜ}ꀄꊭꌠꀑꑊ/n ꀉꄂ/d ꃹ/v  [ꅽ] /rꀑꇬꀋꇈ/nl 。/w 
1537		 {ꂽ}ꆾ/p ꀂ(ꃶ)ꊈ/r ꂯ/d ꀋꎪ/v ，/w  [ꅽ] /r {ꌬ}ꐓ/vu ꀨꁵ/p ꂿꑘꃅꊿ/n ꀉꉙ/d ꀋꎪ/v ？/w 
1538		  [ꅽ] /r {ꄐꅍ}ꀉꇨ /d ꄀꇗ/v ꀉꁁ/r ꀋꉊꀁꋌꊰ/v ，/w ꀠ{ꉪꇩꏤꑵꉙ}ꃚꌐ/v ꄿ ꀑꑊ/n ꀋꏯꐙ/v ꄲꃅ/r ꀊ/u ，/w {ꌬ}ꐓ/vuꀞꄻ/v /n ꀞꅀ/u ？/w 
1539		 (ꅇ)ꉉꁧ/v /n {ꄉ}ꄐ/nd 、/w /n (ꀉꑳ)ꒆ/v ꀉꑳꀉꑳ/n ꂷꃰꇌꈭ/v ꀉꇨꃹꀉꇨ/i ꀊ/u /n ，/w  [ꅽ] /r ꀐꍰ/d ꅇꁵ/v /v ꀉꉙ{ꀋ}ꉆ/vu 。/w 
1540		 {ꃢꈜ}ꈚ/r ꀒ/vl ꂿꑘꃅꊿ /n ꀊ/u ꀉꁁꋍꑵ/m ꇗ/q ꈩ/v ꃅꈧ/v ，/w ꀉꉙ/d ꀉꏮ/p  [ꅽ] (ꃶ)ꊈ/r /nl ꀀꀊꀒ/v ꃅꄷ/n ꆫ/v 。/w "/w 
1541		 ꀋꇈꃅ十/m ꃅꈎ/nt ꀊ/u ꇫꐥ/n ꄐ/n ꀋꎪ/v ꀐ/u ꋌ/r ꀊ/u ꀿꃀ/n ꃄꁕꂒꅉ/n ，/w {ꈜ}ꀦ/d ꀉꏮ/p ...ꇨ/nh (ꅇ)ꉉ/v ꀊ/u ：/w "/w ꍡꑫꀀ/v  [ꅽ] /r /n
1542		 {ꃢꈜ}ꈚꀋꃋ/r ꀊ/u ꃚꐓꄟ/n ，/wꋍꍈ/n ꍡꑫꀀ/v /r ꃚꐨꎹ/v ꀊꋨ/u ꄜꅍ/n ，/w /v ꀊ/u ꀋꂿꑘ/vu 
1543		 ...ꇨꀑꑊ/n ꁢꊧ/p {ꈎꄜ}ꀄꊭꌠꋊ/n ꀑꑊ/n ꉆꍹ/vꌺꑮꃀ /n ，/w ꀒ/vl ꂿꃅ(ꑱꉌ)ꏿꃄꁕꂟ/i ꀊ/u {ꑘ}ꃅ/n ，/w ...ꇮꅀ/d ꀂ/r ꀞ/vu ꆅ/v  [ꅽ] /r ！/w "/w 
1544		 ꅺꌡ/c ，/w ꀂ/r ꃹ/p ꇫꐥ/n {ꄉ}ꄐ/nd {ꆅ}ꄻꁧ/v ꀐ/u ꀉꁁꋍꑵ/m ꀋꏯ/n ꂿꑘꃅꊿ /n ，/w ꀉꁁ(ꃶ)ꊈ/r ꄐ /v /v ꑳꏂ/n 
1545		 ...ꄮ/p ꀉꄉ/n ꂿꃅ ꃃꅑ{ꃅꇏꑠ}ꄷꇨ/i ꃄꁕ/u (ꅇ)ꉉ/v ：/w "/w ꀊꄶ/r ꈎꌋ/v ꀊ/u ꁦꋠ/n (ꅇ)ꉉ/v ꀐ/u ，/w /nhs ꀑꇬ/n {ꄐꅍ}ꀉꇨ/a ，/w ꋌ/r ꀖ/v ꀑꑊ/n ，/w  [ꅽ] /r ꅉꐚ/v ꀉꉙ/d ？/w "/w 
1546		 {ꃢꈜ}ꈚ/r ꈩ/nh ꃃꅑ{ꄉ}ꄐ(ꀉꑳ)ꒆ/i ，/w /v ꅇ/n {ꋍꑍ...}ꆏ/vd /i ꃄꁕ/u (ꅇ)ꉉ/v ：/w "/w ꀊꄶ/r ꈎꌋ/v ꀊ/u ꀐꍰ/d (ꅇ)ꉉ/v ꀐ/u ，/w ꀂ/r ꀒ/vl {ꈜꅽ] (ꃶ)ꊈ/r ꅉꐚ/v ꀉꉙ/d ？/w "/w 
1547		 ꀎꃅꄡ/n ꀊ/u ꐋꀨ/n ꌕ/n ꃄꁕ/u {ꍤ}ꅲ/v ꀂ/r ：/w "/w ꀋꃅ/nt  [ꅽ] (ꃶ)ꊈ/r {ꇇ}ꀯ/d ꀡꃱ/vu ꁰꍋ/v 《/wꆿꒉꃷꅉ/n 》/w ？/w "/w 
1548		 ꀐꍰ/d ꀀꀊ/r (ꅇ)ꉉ/v ：/w "/w  [ꅽ] (ꃶ)ꊈ/r ...ꑘ/v ！/w 
1549		 ꀋꂿꑘ/vu ꂿꉂ/v ꁰꍋꀎ/v ꀉꁁꋍꑵ{ꄷ}ꈨ/mq ......ꄻ/n ，/w ꀉꄂ/d {ꀋ}ꉆ/vu ꀋꇈ/p ......ꄻ/n ꃹ/v ，/w ꀉꒆꅉ{ꈜ}ꀦ/d ꅉꐚ{ꀋ}ꉆ/v  [ꅽ] /r ꂷ/u ꁰꍋ/v ꀊ/u ꀑꑊꀋꎪꌠ/n
1550		 ꀋꐈꌠꇖꀉꁌ/nh (ꅇ)ꉉ/v ꀉꁁ/r ：/w "/w  [ꅽ] /r ꀉꒆꅉ/d ꀀ/v /v ꀉꑳ/k "/w ，/w ꀊꄸꄷ/c {ꃢꈜ}ꈚꄮꇬ/nt ꑘ ꑊꈾ/nh ꀙ ꀉꉙ/d 
1551		 ꀂ/r ꀉꁁꋍꑵ/d ꁖ{ꈐ}ꉈ/v ，/w ꑍꁁꏯ /n ꀉꄂ/d {ꌬ}ꐓ/vu {ꁱ}ꂷꀱ ꁳꀎ/i ，/w  [ꅽ] (ꃶ)ꊈ/r {ꆅ}ꄻ/v {ꆅ}ꄻ/v ꀂ/r ꑍꃅꇏ{ꐯ}ꄳꊰ/nhs ꀀ/v {ꏯ}ꀋꋌ /d ꀉꇨ/a ...ꋐ{ꑘ}ꃅ/n ，/w ꀀ/v {ꏯ}ꀋꋌ /d ꀉꇨ/a ꀊ/u {ꈐ}ꉈꀉꑳ/n ！/w 
1552		 ꑍꃅꇏ{ꐯ}ꄳꊰ/nhs ꀉꁁꋍꑵ/d v {ꃢꈜ}ꈚ/r ꅇ/n ꀉꑳ/k ꀉꉙ/d ꀱꅫ/a /v ꀊ/u ꀒ/vl ꀉꁁꋍꑵ/m ꁱꐘ/n ꀐꀉꉙ{ꀀ}ꄓ/a ꀊ/u ꀉꇨ{ꑘ}ꃅ/n ꀉꑳ/k ，/w  [ꅽ] /r ꀡꃱ/vu (ꅇ)ꉉ/v ꀂ/r {ꃢꈜ}ꈚ/r ꀒ/vl ꀈꈥ /a ꃄꈌꄐꃅꉉ/v ！/w 
1553		 ꑍꃅꇏ{ꐯ}ꄳꊰ/nh {ꃢꈜ}ꈚ/r ꀉꄂ/d ꀱ/p ꇖꀉꁌ/nh (ꅇ)ꉉ/v ：/w "/w  [ꅽ] /r {ꃢꈜ}ꈚ/r ꀒ/vl {ꀒꁨ}ꂇ /v ꈀꄸ/r (ꇇ)ꉈꈧ/v {ꑳꇤ、ꎊꈬ}ꀈꈥꃅꇫꄉ ꅇ/n (ꈀꎭꀕ)ꀐ/r ？/w                     
1554		 ꄇꇖꀕꃅꉜꅐꇁ/v ꄇꇖꀕꃅꉜꅐꇁ/v ，/w ꑠꀋꉬ /d ꀉꒆꅉ/d ꂿꉂ/v /v ꇤ/v ，/w ꅇ(ꅇ)ꉉ/v {ꀋ}ꉆ/u ꀉꉙꀉꒉ/d ꀋꄸꄷꄟ /v ꀉꑳ/k ，/w ...ꅉꃤꆳ/n ꀊ/u ꃚꂫ/n 
1555		  [ꅽ] /r ꅉꐚ/v ꀂ/r ꀒ/vl /r ꀞꅀ/u ？/w 
1556		 {ꃢꈜ}ꈚ/r ꄌ/q ꅇ/n ꀉꑳ/k {ꈜ}ꀦ/d ꋊꐇ/v ꑍꃅꇏ{ꐯ}ꄳꊰ/nhs ꀊ/u ꀀ/n ，/w ꃹ/p ꀉꑌ ꀑꑊ/n ꂴꆽ/nd ꀀ/v /n/w ꀂ/r ꀎꋏ/d ꇇꈐꑌ/v ꇇꈐꑌ/v  [ꅽ] /r ！/w "/w 
1557		 ꀋꐈꌠꇖꀉꁌ/nh /v ꀉꁁ(ꃶ)ꊈ/r ：/w "/w  [ꅽ] (ꃶ)ꊈ/r /m /q ꃅꅍꎷꀋꊌ/r ？/w "/w 
1558		 ꃛꇊꀝ /nhꀐꍰ /d ...ꋻ /d /(ꅇ)ꉉ v ：/w "/w ꃅꀹ/n {ꉪꇩꏤꑵꉙ}ꃚꌐ /nd ꀋꏣ/v ꆂ ꊿꑫ/m {ꄷ}ꈨ /q ꁡꇤ /n ，ꆂ ꊿꑫ/w/m ꀉꄂ ꁥꅇ/q ꇇ(ꎇ);ꌌ /n ，/w ꈍꑍꀕ /m {ꄷ}ꈨ /q ꅳꁖ /n ꃶꐚꃅ /vl ꉬꇮ /d ꍣꅍꀋꐥ /a ꀋꎪ /u ，/w ꑞꃅꑠꃅꐙ /c ꁰꄻꊿ /nꀋꂿꑘ  /vu ꂱꑱꅉ /d ꁱꉉ /vꊿꊇ  /r ，/w ꀉꄂ /d ......ꌷ /d 找出/v ꊿꊇ /r ꀋꎪ /u ꀋꌡꊮꌺ /n ，/w ꀊꄸꄷ /c ꀋꉬꀋꉆ /a ꄮꇬ /n {ꇁ}ꋋ /d ꉬꌠ /v ꀋꎪꃅ /a ꀋꇎ /c ꌤꌧꃪꃭ /a ꃄꁕ /u ꆫꍰ /v ，/w ꄡꑟ /vu ꀊꉗꃅ /a ꃄꅉ noun/u ꉌꊢꃅꉜ /v  [ꅽ ] /r {ꀋꉊꃀꂽ}ꍆꅉ /u ꂿꉂ /v ...ꅐꇁ /v ꀋꎪ /u ꀮꇐ /n ，/w ꂿꅜ /v ꀈ꒜ ꀋꉊ /nt ꅉꈀꄸꉬꄿꂿ /r  ꀑꑊ /n ꀋꏣ /d {ꆅ}ꄻ 到/v ꀈ꒜ /u ꀋꇎ /c (ꅇ)ꉉ c/v ꀈ꒜ /u ꀋꎪ /u ꀉꈫꈭ /n ꀋꇎ /c ꇳꏦ /n 。/w "/w 
1559		 ꋌ pron ꋋ/r ꅉ /d ꃹ /p ꁰꄻ /v ꀁꂱ /r ꀊꋨꄮ /nt ꀋꎪ /u ꉌꂵ  /n ꐆ /n ，/w ꅉ /d ꀉꁁ /d ...ꇬꄉ ꄉ/p ꏢꀺ/nd ꀋꌋꄐꁵ /v 王魁/nh ：/w “/w ꀉꒆꅉ /d ꀀ verb/v {ꉹꁌ}ꑵ /n ꒈꂃ /n ꀑꁮ /n ，/w ꀉꄉ /v  [ꅽ ] /r {ꉹꁌ}ꑵ {ꀋꃪꏯ}ꏮ /a ꎝ/n ”/w ꀊꀎ ꌗꏿꅇ/e ！/w 
1560		 ꀊꄶ /r ꀉꄂ ꀒ (ꅇ)ꉉ /c ：/w “/w ꀊꆨ꒜ /nt ꀋꎪ /u {ꑘ}ꃅ /n ꂼ /u ，/w ꀋꃋ ꃹ /nt ꀉꉙ (ꅇ)ꉉ /v ꀐ ꎙꁥꅇ/u ，/w ꀉꄂ /d {ꆅ}ꄻ /v  [ꅽ ] /r （/w 王魁/nh ）/w ꀃꑍ noun/nt ꀋꇈ /p ꀂ /r ꈍꃅ /r ꀞ/v ？/w ”/w 
1561		 ꀉꃰ /n ꂱꆀ /v {ꃢꈜ}ꈚ /u ꀁꂱ /r ，/w ꀉꉙ {ꌬ}ꐓ /v ꀞ /v ꀊꀎ ꌗꏿꅇ/u ，/w 凤莲/nh ，/w ꀁꇬ /r (ꅇ)ꉉ /v ꀞ ꃹ /v  ꏬꌆ {ꂱꑱ}ꃅꄷ /n ꀒ /vl 最大/a ꀋꎪ /u ꀉꉙ /d </a ，/w ꀞ /v ꀐ ꎙꁥꅇ/u  ꏬꌆ /n ꀉꁁꋍꑵ /m ꋊ {ꐯ}ꄳꊰ /n ꀋ /d ꉙꄟ运/n …/w …/w   ꏬꌆ 夫/n (ꃶ)ꊈ /k ꀋꎪ /u ꅇ /n 更加/d 粗野/a ꀐ ꎙꁥꅇ/u ，/w ꀉꁁ ꀋꈚ(ꃶ)ꊈ /r ꀀ verbꀋꎪ /r (ꊿ)ꊨ;(ꊾ)ꏈ /v ꀂ /r  ...ꋻ /h ꀉꁁ 祖父/n ꀒ /vl {ꄷ}ꈨ /q ꎆꂿꑓꁉ /i ꀋꎪ /u {ꈎꄜ}ꀄꊭꌠ  ꀑꑊ /n ，/w ꀀ verbꀋꎪ /r (ꅇ)ꉉ /v ꃨꏀ /n 插到/v 牛粪/n {ꉪꇩꏤꑵꉙ}ꃚꌐ /nd ，/w ꀀ verbꀋꎪ /r (ꅇ)ꉉ /v 单扁郎/nh ꀒ /vl {ꄷ}ꈨ /q {ꀋꃪꏯ}ꏮ /v ꀈꄼ /a (ꂷꊂ)ꐳ; /n (ꂷꊂ)ꐳ; /v (ꂷꊂ)ꐳ; /a ...ꃢꋌ /n ꀋꎪ /u {ꑭꇇ}ꃺ {ꉹꁌ}ꑵ ꁒꐀ /n  ꀑꑊ /n ，/w ꀉꁁ ꀋꈚ(ꃶ)ꊈ /r (ꅇ)ꉉ /v 站ꃹ /v 单/nhf ꀁꇬ /n 院{ꐯ}ꄳꊰ /n ꀉꁁ /nd ，/w ꀉꄂ /d {ꌬ}ꐓ /vu 闻到/v ꀉꁁꋍꑵ /m ꀧ /n ꀉꀜꐛ ꀧ /a 肉/n 臭味/n ，/w 单/nhf ꀁꇬ /n ꀋꎪ /u 院{ꐯ}ꄳꊰ /n {ꂱꑱ}ꃅꄷ /nd ，/w 飞舞/v {ꃢꈜ}ꈚ /u 成群结队/i ꀋꎪ /u 绿头/n 苍蝇/n …/w …/w  "/w {ꈎꄜ}ꀄꊭꌠ ꀉꁧ {ꐯ}ꄳꊰ /n ，/w  [ꅽ ] /r 可/vu ꀉꉙ {ꌬ}ꐓ /v ꁒꐀ /v 单扁郎/nh {ꒉ}ꅑ /v ꀑꇬ /n ꀊꀎ ꌗꏿꅇ/u ，/w {ꒉ}ꅑ /v ꀐ ꎙꁥꅇ/u ꀑꇬ /n  [ꅽ ] /r ꀐꍰ ꀋ  /d ꀉꀜꐛ ꀧ /a ꀋ  /u ！/w "/w 
1562		 ꀉꄉ /n ꀊꁠ ꌗꏿꅇ/u ，/w ꀉꁧ /n ꀊꁠ ꌗꏿꅇ/u ，/w ꂁꋠ  ꎆ /a ꀋꎪ /u ꀉꄉ /n ，/w ꀋꇝ /n ꀋꎪ /u ꀉꁧ /n ，/w  [ꅽ ] (ꃶ)ꊈ /r ꀋꇈ /p ꀂ /r {ꃢꈜ}ꐆ /v ꀐ ꎙꁥꅇ/u 。/w 
1563		 ꀉꒆꅉ /a ꄧꀕꃅ /a …/w …/w  [ꅽ ] /r ꊼꇅ /r ，/w ꈍꃅ /a ꀉꉙ /d ꁦꉘꀕ /a ꀐ ꎙꁥꅇ/u ？/w "/w 
1564		 ꄧ /v  [ꅽ ] /r ꄧ /vd ꀊꁠ ꌗꏿꅇ/u ！/w "/w 
1565		 ꀋꃋ ꃹ /nt ꇿꀕꑌ /d ꂯ /d 忙/a {ꃢꈜ}ꈚ /u 抢收/v 抢拉/v ，/w  [ꅽ ] (ꃶ)ꊈ /r ꀊꄶ {ꂱꑱ}ꃅꄷ /r ꃄꅉ noun/n 割/v 得/u 怎么样/r ꀐ ꎙꁥꅇ/u ？/w "/w 
1566		 ꀉꁁꋍꑵ 天/nt ꀒ /vl 快/a ꀐ ꎙꁥꅇ/u ，/w 两/m 天/nt ꀒ /vl 快/a ꀐ ꎙꁥꅇ/u ，/w ꉙꄟ/m 天/nt 半/m 月/nt ꀐꍰ ꀋ  ꀒ /vl 快/a ꀐ ꎙꁥꅇ/u ，/w 告诉/v  [ꅽ ] /r ，/w ꀂ (ꃶ)ꊈ /r 要/vu ꀋꉊ /vd 检查/v ꀋꎪ /u 。/w 
1567		  [ꅽ ] /r 来/vd ꀀ verb/v 什么/r {ꑘ}ꃅ /n 吗/u ？/w "/w 
1568		 “/w ꀉꁁ ꀋꈚ/r (ꅇ)ꉉ /v ：/w ‘/w  [ꅽ ] /r ꀒ /vl “/w 内矛/n ”/w ，/w 办/v ꀐ ꎙꁥꅇ/u “/w 敌矛/n ”/w ꀋꎪ /u {ꑘ}ꃅ /n 。/w 
1569		  [ꅽ ] /r ꃹ /p ꀉꒉꌠ棚/n ꂁ /v ꃹ/v ꀉꒉꌠ料/n ，/w ꀂ /r ꀠꂘ/v  [ꅽ ] /r 几/m ꅇꂷ/q ，/w 可/vu ꀉꇨꀋ /v ꀉꁁꋍꑵ {ꄷ}ꈨ 劲/d ꃄꅉ noun/u 剋/v  [ꅽ ] /r ，/w ꊁ/nt  [ꅽ ] /r 咋/r ꀉꇨ/vu 跑/v ꀐ ꎙꁥꅇ/u ꀋ/u ？/w 
1570		 ’/w ꀉꁁ ꀋꈚ/r ꁱꀋꐭ声/a ꈐꃃꏿ/n ꃄꅉ noun/u ꀯꀱ/v ꀠꀋꄿ/v ：/w ‘/w ꃹꀉꉙ ꀐ ꎙꁥꅇ/v 带{ꉪꇩꏤꑵꉙ}ꃚꌐ /v ，/w  [ꅽ ] /r ꃬꈯ/d ꀿꏅꌐꀁ/v ꀀ verb/v ꀉꁁꋍꑵ /m {ꄷ}ꈨ /q 变戏ꀀ/v 姓/n 索/nhf ꀋꎪ /u  ꀑꑊ /n ꀀ/u ？/w 
1571		 ’/w ꀂ /r 琢磨/v {ꃢꈜ}ꈚ /u ꀉꁁ ꀋꈚ/r ꄚ/r ꆂ/m ꅇꂷ/q ꅇ /n ，/w ꀎ象/d ꀒ /vl ꀃ/v ꀂ /r ꀋꇈ /p 包{ꐯ}ꄳꊰ /n 带ꀑꂥ/v 给/v  [ꅽ ] /r ，/w 可/vu ꀂ /r ꀉꁁ /d ꀉꉙ 敢/v ꀀ信/v ꀁꂱ /r ꀋꎪ /u 判断/v ，/w ꀀ/d {ꍤ}ꅲ/v ：/w ‘/w 您/r ꀒ /vl (ꅇ)ꉉ /v ꀋꇈ /p ꀋꑍꊂ/r 包{ꐯ}ꄳꊰ /n 留给/v …/w …/w ’/w ꀉꁁ ꀋꈚ/r 却/d 阴沉/a {ꃢꈜ}ꈚ /u ꀑꑊ/n ꈌꂭ/v ꀋꂷ/v ，/w ꀉꒆꅉ ꀉꁁ ꀋꈚ妈ꀋꎪ /i ꀒ /vl {ꄷ}ꈨ /q ꊾꇠ/n ！/w ”/w 
1572		 “/w 馊/a ꀋꎪ /u ꀐꍰ ꀋ  /d ꀋ 关系/v ，/w ꀠ/v  [ꅽ ] /r ꀀ/u ，/w ꀋꉊ ꃅꈎ/nt ꀂ /r 浮肿/v ꀋꎪ /u ꄮꇬ/n ，/w ꃬꈯ/d ꃹ/v ꀈ꒜ /u ꀋꇙꀋꑐ/a 耗{ꐯ}ꄳꊰ /n ꀋ/u ！/w ”/w 
1573		 索泓ꀉꁁꋍꑵ /nh ꀋꇈ /p 嘴{ꂱꑱ}ꃅꄷ /nl ꀋꎪ /u {ꉘꁮ、ꆥꁨ}ꈌꋠꀀ/n 咽ꀁꋌ/v ꀋꉊ /vd ，/w ꄯꒉꑗꂡꅳꁖ/n ꀋꈐꀋꉈ/nd ꁖꁖ/v ꂄꎔꀑꑊ/n ：/w “/w ...ꇨ/h 刘/nhf ，/w  [ꅽ ] /r ꀉꒆꅉ /d ꀒ /vl 颗/q 吉星/n ，/w ꀉꉙ ꀀ/c 给/v ꀂ /r 带ꀑꂥ/v 解馋/a ꀋꎪ /u 包{ꐯ}ꄳꊰ /n ，/w ꃬꈯ给/v ꀂ /r 带ꀑꂥ/v ꂄꎔ讯/n ，/w  [ꅽ ] /r {ꆅ}ꄻ /v ─/w ─/w ”/w 索泓ꀉꁁꋍꑵ /nh ꀀꀯ/v {ꃢꈜ}ꈚ /u 纸袋/n {ꉪꇩꏤꑵꉙ}ꃚꌐ /nd 密{ꑭꇇ}ꃺ {ꑭꇇ}ꃺ /a ꀋꎪ /u 铅ꁱꂷ/n 。/w 
1574		 亏/v  [ꅽ ] /r 提醒/v ꀐ ꎙꁥꅇ/u ꀂ /r ！/w ”/w 
1575		 实ꃹ /d 跟/c  [ꅽ ] (ꃶ)ꊈ /r (ꅇ)ꉉ /v ，/w ꄚ/r 本/q ꁰꄟ/n ꀎ极ꀐ ꎙꁥꅇ/a ，/w ꀎ极ꀐ ꎙꁥꅇ/a ！/w 
1576		  [ꅽ ] (ꃶ)ꊈ /r (ꅇ)ꉉ /v ，/w 伟ꀉꇨ/a ꀉꉙ /d 伟ꀉꇨ/a ！/w ”/w 
1577		 杨承荣/nh 继续/d ꀋꇈ /p ꀊꄶ /r 本/q ꁰꄟ/n 举ꃹ /v ꀂꏾ{ꉪꇩꏤꑵꉙ}ꃚꌐ /nl ꅥꇙ;ꉈ/v {ꃢꈜ}ꈚ /u ，/w (ꅇ)ꉉ /v ：/w “/w 刚ꀉꄂ/d  [ꅽ ] (ꃶ)ꊈ /r ꄚ{ꂱꑱ}ꃅꄷ /r ꀞꐕꄲꃅ/r {ꏸ}ꈌꁱꀋꐭ/a ，/w 彷徨/a ，/w ꄚ/r 本/q ꁰꄟ/n ꂯ /d {ꌬ}ꐓ /vu ꀯꀱ/v 。/w 
1578		  [ꅽ ] /r (ꃶ)ꊈ /k ꀋꂿꑘꀒ /d ꂿꉂ /v ꅉꐚ/v ꀋꈐꀋꉈꂓꅑꌠ/ns ꃅꅍꎷꀋꊌ/r ꀉꄂ/d {ꌬ}ꐓ 够/vu 打ꊋ/v ，/w ꀞꐕꄲꃅ/r {ꌬ}ꐓ 够/vu ꀍꇤꊋ/v ，/w ꀉꄂ /d {ꊂ}ꈹ{ꊂ}ꈹ/d ꀋꇈ /p ꄚ/r 本/q ꁰꄟ/n 读/v ꀉꁁꋍꑵ /m 读/v ꀀ/u 。/w 
1579		 ꀉꉙ /d ꀀ信/v ，/w ꀂ /r ꀋꇈ /p ꄽꂫ/a ꆂ/m ꅇꂷ/q ꅇ /n 念/v 给/v  [ꅽ ] (ꃶ)ꊈ /r ꄿꐨꄿꐨ/v 。/w ”/w 
1580		 ꊁꆏ/c 转/v ꀀ/n 吩咐/v ꀉꒉꌠ童/nh ：/w "/w ꀋꉊ ꁧ/v ꀃꌋꂾꀊꆨꇓ/n ，/w 与/p  [ꅽ ] /r ꀁꇬ /n ꀿꃶ/n ꅇꇰꉏꇰ/v ，/w ꊩꏦ/v ꑍ/m 位/q 皇/n 嫂/n 进ꇓ/v 。/w "/w 
1581		  [ꅽ ] /r ꀁꇬ /n ꀉꑌꀉꁌ/n ꁓꐒ/n ꀉꉙ ꀎ/a ，/w  [ꅽ ] /r ꀋꂿꑘ/vu {ꈎꄜ}ꀄꊭꌠ ꃅꄡ/a ꀉꁁꋍꑵ ꑍ/m 。/w "/w 
1582		 {ꀋꉊꃀꂽ}ꍆꅉ 以/c ꀉꁁ ꀋꈚ/r ꂯꀋꆷ/d {ꍤ}ꅲ/v ：/w "/w  [ꅽ ] /r ꀁꇬ /n ꀉꑌꀉꁌ/n 讲/v 些/q ꄲꃅ/r "/w ？/w 
1583		 于ꀒ /c ꀉꒉꌠ童/nh ꀋꇈ /p 第ꑍ/m 场/q 戏/n ꀉꁁ ꀋꈚ/r ꃹ /p ꀃꌋꂾꀊꆨꇓ/n ꀀꁧ/v ꀀ飞/nh 时/nt ，/w ꀀ飞/nh {ꀋꉊꃀꂽ}ꍆꅉ /u (ꅇ)ꉉ /v ꀋꎪ /u ꅇ /n ꃄꀱ/v ꀐ ꎙꁥꅇ/u ꀉꁁꋍꑵ /m 遍/q ：/w "/w  [ꅽ ] /r ꀁꇬ /n ꑍꀉꁌ/n ꀋ/v 仁/n ꀋ义/v ，/w ꀋꎺ/v ꄧꃅ/n 盟誓/v ，/w ꀋ/v 始/n ꀋ/v 终/n ，/w ꀉꉙ /d ꀀ/vu 降/v 顺/a 曹/nhf 公/n ；/w 若/c ꀋꂿꑘ/vu ꀀꀉꇨ/v ，/w 除非/c ꀒ /vl 临阵/v 交锋/v "/w ！/w 
1584		 关羽/nh ꀉꁁꋍꑵ /d ꄿꐨ/v ，/w ꃅꄡꀋꈐꀋꉈ/nl ...ꐯ.../d ꄸꀵ/a ，/w ꅑꀵ/v ꀉꒉꌠ童/nh ，/w  [ꅽ ] /r ꀀꀞꅀ/r ꀉꉙ /d 替/v ꀂ /r 解释/v ꀉꁁꋍꑵ ꀁꋌ/mq ，/w "/w ...ꇮꅀ/d  [ꅽ ] /r ꀐꍰ ꀋ  /d ꀉꉙ /d ꅉꐚ/v  [ꅽ ] /r ꑍꀉꁌ/n ꀋꎪ /u {ꏸ}ꈌ处/n ？/w "/w 
1585		 ꃹ /p 练功/v ꀋꈐꀋꉈ/nd ꃬꈯꀀ verb/v ꀉꁁꋍꑵ /m 段/q ꇿꅇ /n ，/w ꀀ/m ꃅꈎ/nt ꀈ꒜ ꀋꉊ /vd ꀐ ꎙꁥꅇ/u ，/w ꂘꃀ/n ꀉꄂ /d ꀉꉙ ꀒ /vl ꂿꃅ/nt ꂿꃅ/nt 时时/d 盯/v {ꃢꈜ}ꈚ /u 练功/v ，/w ꀀ/c ꀉꁁ ꀋꈚ/r 随时/d ꀑꂥ/vd ꀦꏢ /v ，/w ꀉꁁ ꀋꈚ/r ꀉꉙ {ꍤ}ꅲ/v ꀀ/d ꀀ/v  [ꅽ ] /r 使劲/v 练/v ꀐ ꎙꁥꅇ/u ꀋꏣ /v ，/w ꀉꁁ ꀋꈚ/r {ꆅ}ꄻ /v  [ꅽ ] /r ꀑꑊ{ꉪꇩꏤꑵꉙ}ꃚꌐ /nl ꀋꎪ /u 汗...ꃢꋌ /n 淌/v ꀐ ꎙꁥꅇ/u ꀋꏣ /v ，/w {ꆅ}ꄻ /v  [ꅽ ] /r ꃬꈯ背/n 前胸/n 湿透/v ꀐ ꎙꁥꅇ/u ꀋꏣ /v 。/w 
1586		 ꀎ/a {ꈎꄜ}ꀄꊭꌠ {ꐯ}ꄳꊰ /n ，/w  [ꅽ ] /r (ꅇ)ꉉ /v ꃬꈯꅇ /n ，/w  [ꅽ ] /r ꃬꈯ背/n ꀀꀞꅀ/r ꀋ /v ꀉꁁꋍꑵ ꀯ/mq 汗/n ꀋ/u ？/w "/w 
1587		 ꀂ /r ꂘꃀ/n 教/v ꇮꌺ/n ꀋꎪ /u ꏡꁈ/n ꀒ /vl 先/d ꀉꉙ /d 给/p  [ꅽ ] /r 串/v 戏/n ，/w ꀉꁁ ꀋꈚ/r ꀒ /vl 强调/v 先/d ꀋꇈ /p ꅉꀨꌧꇐꇮꅍ/n ꀋꇎ /c ꇇꅖ/n 功/n ꀋꎪ /u ꅉꀨ/n ꀍꇤ牢/v ，/w ꀀ/d ꀉꇨ戏/v ，/w 扮/v ꄺꀠ/n 。/w 
1588		 ꇔꇷ/n (ꅇ)ꉉ /v ：/w "/w ꀉꁁ ꀋꈚ/r ꀋꎪ /u 错/n ꀐꍰ ꀋ  /d 让/p  [ꅽ ] /r ꀿꏅꌐ住/v "/w 。/w 
